Hawaii Ocean Time-series : 05-Sep-2023 22:50:56
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, don, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0530200615, 030994, 060226,   60.1,   5.35,
0530200614, 030994, 060130,   75.0,   5.29,
0530200613, 030994, 060043,   83.3,   5.26,
0530200612, 030994, 055938,   95.2,   5.66,
0530200611, 030994, 055837,  104.9,   5.83,
0530200610, 030994, 055737,  115.9,   5.57,
0530200609, 030994, 055642,  125.8,   5.39,
0530200608, 030994, 055535,  135.0,   4.97,
0530200607, 030994, 055225,  149.2,   5.05,
0540201321, 061994, 230633,    5.1,   5.07,
0540201320, 061994, 230503,   14.9,   5.05,
0540201318, 061994, 230339,   24.7,   5.47,
0540201317, 061994, 230219,   35.3,   5.39,
0540201316, 061994, 230056,   44.6,   5.71,
0540201315, 061994, 225936,   59.7,   6.81,
0540201314, 061994, 225807,   75.4,   6.86,
0540201313, 061994, 225646,   84.7,   5.94,
